time,temperature,humidity,pm2.5,delta_score,delta_temp,delta_humidity
2,24,63,10,1.4000000000000004,0,-3
3,25,61,10,-3.280253164250166,1,-2
4,24,56,10,-0.8184703306139949,-1,-5
5,26,58,10,2.943102848734303,2,2
6,26,55,10,-1.644924324755318,0,-3
7,28,50,10,3.780682308769669,2,-5
8,30,54,10,-2.974732315761985,2,4
9,31,51,10,0.7514010548022205,1,-3
10,32,47,10,2.1427735642392016,1,-4
11,32,49,10,-1.859905649410195,0,2
12,31,47,10,-2.981790525798327,-1,-2
13,33,52,10,3.390743124971362,2,5
14,35,54,10,-0.2829187663817755,2,2
15,37,53,10,-0.7475278216685615,2,-1
16,37,49,10,0.3714295844841933,0,-4
17,36,53,10,-0.9240427244258227,-1,4
18,37,50,10,-1.0408616544869946,1,-3
19,38,47,10,1.3452891732269578,1,-3
20,37,52,10,0.3524332920342885,-1,5
21,39,50,10,1.7390768203444473,2,-2
22,39,49,10,-0.9905306299596428,0,-1
23,38,54,10,0.5927169057738291,-1,5
24,36,58,10,-1.3573408846167143,-2,4
25,38,59,10,1.7061815923746422,2,1
26,36,61,10,-2.1152882575917706,-2,2
27,35,58,10,1.931665801834464,-1,-3
28,36,61,10,-2.9677352188973214,1,3
29,34,63,10,-0.4456221239355229,-2,2
30,33,60,10,1.5706193762252707,-1,-3
31,35,55,10,-0.775575815709801,2,-5
32,34,57,10,-0.8026840897704719,-1,2
33,32,59,10,0.03778884851611619,-2,2
34,31,62,10,-0.5228400130097275,-1,3
35,30,65,10,2.3092838751997142,-1,3
36,32,64,10,-0.08351382097685917,2,-1
37,34,59,10,0.07976015922351873,2,-5
38,32,56,10,-0.5002253432004341,-2,-3
39,32,61,10,-0.6778883677060827,0,5
40,34,64,10,1.2863686606131919,2,3
41,33,65,10,0.6004940978287585,-1,1
42,32,61,10,-1.6251526991557976,-1,-4
43,32,58,10,0.9774501389753293,0,-3
44,33,61,10,0.5207459601020832,1,3
45,32,57,10,-1.4425150691299082,-1,-4
46,30,52,10,0.3567169876807297,-2,-5
47,31,50,10,-0.03690713069427176,1,-2
48,31,53,10,0.10988290186137128,0,3
49,31,56,10,-0.2655319208942416,0,3
50,30,61,10,-0.31380933123507104,-1,5
51,30,57,10,-1.976690782357557,0,-4
52,29,54,10,3.654930895349196,-1,-3
53,29,59,10,-1.6752353788306356,0,5
54,29,55,10,1.645080729418743,0,-4
55,30,59,10,-2.0337466857507733,1,4
56,31,61,10,0.49919786353715145,1,2
57,31,57,10,-0.2579058059835444,0,-4
58,33,58,10,0.6486702669390314,2,1
59,35,53,10,1.3087861505667817,2,-5
60,34,56,10,0.8496544784839409,-1,3
61,35,51,10,1.0400389385731588,1,-5
62,33,49,10,0.9679570412099858,-2,-2
63,35,51,10,-3.235773089427867,2,2
64,36,50,10,-1.5502809512181648,1,-1
65,35,52,10,0.33138121393948894,-1,2
66,36,51,10,1.60021035153764,1,-1
67,38,48,10,0.4309490877329064,2,-3
68,39,53,10,-1.684119947899775,1,5
69,41,57,10,1.1334073378753233,2,4
70,42,55,10,-0.7045156346839692,1,-2
71,43,53,10,-1.5049936940778033,1,-2
72,45,55,10,2.3251908822686627,2,2
73,44,53,10,1.7013736714878904,-1,-2
74,45,56,10,-3.239541434804653,1,3
75,47,59,10,-0.12099457957258697,2,3
76,46,55,10,1.772764906340881,-1,-4
77,46,57,10,-3.4776097149318748,0,2
